Individula ID	Pop
QUE.22	QUE
QUE.13	QUE
ATX.15	ATX
PRE.18	PRE
CAR.17	CAR
QUE.10	QUE
PRE.14	PRE
ATX.16	ATX
CAR.4	CAR
CAR.16	CAR
QUE.21	QUE
CAR.9	CAR
ATX.3	ATX
QUE.3	QUE
CAR.8	CAR
QUE.9	QUE
PRE.15	PRE
QUE.16	QUE
QUE.1	QUE
ATX.5	ATX
CAR.12	CAR
PRE.12	PRE
CAR.6	CAR
ATX.12	ATX
PRE.17	PRE
PRE.7	PRE
ATX.8	ATX
ATX.21	ATX
ATX.13	ATX
PRE.9	PRE
CAR.18	CAR
CAR.14	CAR
ATX.1	ATX
QUE.5	QUE
QUE.14	QUE
CAR.23	CAR
ATX.18	ATX
PRE.8	PRE
QUE.15	QUE
QUE.6	QUE
QUE.2	QUE
ATX.10	ATX
PRE.1	PRE
ATX.7	ATX
QUE.4	QUE
PRE.21	PRE
CAR.3	CAR
QUE.23	QUE
QUE.11	QUE
ATX.14	ATX
QUE.19	QUE
PRE.19	PRE
ATX.22	ATX
ATX.11	ATX
CAR.7	CAR
PRE.23	PRE
CAR.11	CAR
PRE.5	PRE
ATX.6	ATX
QUE.7	QUE
CAR.1	CAR
CAR.24	CAR
ATX.9	ATX
CAR.10	CAR
CAR.2	CAR
QUE.17	QUE
ATX.20	ATX
PRE.22	PRE
PRE.2	PRE
CAR.13	CAR
CAR.22	CAR
CAR.5	CAR
CAR.20	CAR
PRE.6	PRE
PRE.13	PRE
ATX.23	ATX
ATX.4	ATX
ATX.2	ATX
PRE.20	PRE
CAR.15	CAR
CAR.21	CAR
CAR.19	CAR
ATX.19	ATX
ATX.17	ATX
PRE.16	PRE
QUE.18	QUE
QUE.12	QUE
QUE.24	QUE
QUE.20	QUE
PRE.10	PRE
PRE.3	PRE
PRE.11	PRE
QUE.8	QUE
