Individula ID	Pop	Condici—n Salina	Depredador
QUE.22	QUE	Dulce	SI
QUE.13	QUE	Dulce	SI
ATX.15	ATX	Salino	NO
PRE.18	PRE	Dulce	SI
CAR.17	CAR	Variable 	NO
QUE.10	QUE	Dulce	SI
PRE.14	PRE	Dulce	SI
ATX.16	ATX	Salino	NO
CAR.4	CAR	Variable 	NO
CAR.16	CAR	Variable 	NO
QUE.21	QUE	Dulce	SI
CAR.9	CAR	Variable 	NO
ATX.3	ATX	Salino	NO
QUE.3	QUE	Dulce	SI
CAR.8	CAR	Variable 	NO
QUE.9	QUE	Dulce	SI
PRE.15	PRE	Dulce	SI
QUE.16	QUE	Dulce	SI
QUE.1	QUE	Dulce	SI
ATX.5	ATX	Salino	NO
CAR.12	CAR	Variable 	NO
PRE.12	PRE	Dulce	SI
CAR.6	CAR	Variable 	NO
ATX.12	ATX	Salino	NO
PRE.17	PRE	Dulce	SI
PRE.7	PRE	Dulce	SI
ATX.8	ATX	Salino	NO
ATX.21	ATX	Salino	NO
ATX.13	ATX	Salino	NO
PRE.9	PRE	Dulce	SI
CAR.18	CAR	Variable 	NO
CAR.14	CAR	Variable 	NO
ATX.1	ATX	Salino	NO
QUE.5	QUE	Dulce	SI
QUE.14	QUE	Dulce	SI
CAR.23	CAR	Variable 	NO
ATX.18	ATX	Salino	NO
PRE.8	PRE	Variable 	SI
QUE.15	QUE	Dulce	SI
QUE.6	QUE	Dulce	SI
QUE.2	QUE	Dulce	SI
ATX.10	ATX	Salino	NO
PRE.1	PRE	Dulce	SI
ATX.7	ATX	Salino	NO
QUE.4	QUE	Dulce	SI
PRE.21	PRE	Dulce	SI
CAR.3	CAR	Variable 	NO
QUE.23	QUE	Dulce	SI
QUE.11	QUE	Dulce	SI
ATX.14	ATX	Salino	NO
QUE.19	QUE	Dulce	SI
PRE.19	PRE	Dulce	SI
ATX.22	ATX	Salino	NO
ATX.11	ATX	Salino	NO
CAR.7	CAR	Variable 	NO
PRE.23	PRE	Dulce	SI
CAR.11	CAR	Variable 	NO
PRE.5	PRE	Dulce	SI
ATX.6	ATX	Salino	NO
QUE.7	QUE	Dulce	SI
CAR.1	CAR	Variable 	NO
CAR.24	CAR	Variable 	NO
ATX.9	ATX	Salino	NO
CAR.10	CAR	Variable 	NO
CAR.2	CAR	Variable 	NO
QUE.17	QUE	Dulce	SI
ATX.20	ATX	Salino	NO
PRE.22	PRE	Dulce	SI
PRE.2	PRE	Dulce	SI
CAR.13	CAR	Variable 	NO
CAR.22	CAR	Variable 	NO
CAR.5	CAR	Variable 	NO
CAR.20	CAR	Intermedio 	NO
PRE.6	PRE	Dulce	SI
PRE.13	PRE	Dulce	SI
ATX.23	ATX	Salino	NO
ATX.4	ATX	Salino	NO
ATX.2	ATX	Salino	NO
PRE.20	PRE	Dulce	SI
CAR.15	CAR	Variable 	NO
CAR.21	CAR	Variable 	NO
CAR.19	CAR	Variable 	NO
ATX.19	ATX	Salino	NO
ATX.17	ATX	Salino	NO
PRE.16	PRE	Dulce	SI
QUE.18	QUE	Dulce	SI
QUE.12	QUE	Dulce	SI
QUE.24	QUE	Dulce	SI
QUE.20	QUE	Dulce	SI
PRE.10	PRE	Dulce	SI
PRE.3	PRE	Dulce	SI
PRE.11	PRE	Dulce	SI
QUE.8	QUE	Dulce	SI
